5
10 50
0 1 12
0 4 0
0 5 16
0 6 20
0 7 1
0 8 0
1 3 3
1 4 -1
1 5 5
1 9 19
2 4 12
2 7 18
2 9 10
3 1 14
3 2 13
3 4 1
3 5 20
3 6 8
3 7 17
3 8 8
4 0 17
4 1 14
4 6 15
4 7 7
5 0 0
5 2 17
5 4 9
5 7 6
6 0 10
6 1 20
6 3 5
6 5 8
6 7 12
6 9 15
7 0 7
7 1 -1
7 3 15
7 5 6
7 6 14
7 8 -2
7 9 -1
8 1 16
8 2 19
8 4 20
8 5 4
8 6 6
9 2 -1
9 3 10
9 6 18
9 8 15
10 50
0 1 14
0 2 5
0 3 4
0 4 18
0 6 2
0 7 13
0 8 6
0 9 3
1 0 1
1 4 -1
1 6 3
1 7 17
1 9 13
2 6 11
2 7 9
2 8 10
2 9 11
3 0 17
3 2 12
3 5 5
3 6 10
3 7 15
3 8 5
3 9 12
4 6 10
4 8 0
5 2 9
5 4 11
5 7 4
6 0 7
6 1 6
6 2 19
6 5 2
6 7 9
6 8 13
7 0 6
7 1 20
7 4 8
7 5 -1
7 6 15
8 0 9
8 1 17
8 2 17
8 3 12
8 5 -2
8 6 12
8 7 3
9 2 15
9 4 6
9 6 -2
10 50
0 1 20
0 4 8
0 7 20
0 8 19
1 2 15
1 3 -2
1 4 2
1 7 11
1 8 9
1 9 6
2 4 4
2 6 17
3 0 18
3 1 -2
3 4 13
3 6 14
3 9 10
4 0 -1
4 1 0
4 5 5
4 6 17
5 0 20
5 1 19
5 3 16
5 6 7
6 0 0
6 2 16
6 4 11
6 5 17
6 7 6
6 8 0
7 0 8
7 1 8
7 2 12
7 4 0
7 5 1
7 6 14
8 0 -1
8 2 7
8 3 14
8 5 17
8 9 5
9 0 14
9 1 7
9 2 14
9 3 -1
9 4 3
9 5 18
9 6 8
9 8 2
10 50
0 1 17
0 4 16
0 5 3
0 7 9
0 9 10
1 0 4
1 2 6
1 3 10
1 5 18
1 7 12
2 1 9
2 5 16
2 6 12
2 8 17
2 9 1
3 1 11
3 2 9
3 5 18
3 6 9
3 8 14
3 9 3
4 1 17
4 3 2
4 5 15
4 8 2
5 1 6
5 2 10
5 4 12
5 8 14
6 0 16
6 1 13
6 2 0
6 3 -1
6 8 11
6 9 3
7 2 18
7 3 18
7 5 10
8 0 6
8 2 19
8 3 10
8 4 12
8 5 8
8 6 14
9 0 19
9 2 16
9 4 0
9 5 20
9 7 17
9 8 11
10 50
0 1 17
0 2 4
0 3 17
0 5 -1
0 6 -1
0 7 20
0 8 3
1 3 6
1 4 8
2 0 2
2 1 12
2 3 5
2 6 5
2 7 3
2 8 11
2 9 7
3 2 12
3 4 14
3 6 10
3 7 7
3 9 14
4 1 16
4 2 9
4 3 1
4 8 8
4 9 16
5 0 17
5 1 -2
5 2 15
5 4 1
6 1 12
6 2 2
6 3 18
6 4 3
6 9 15
7 4 16
7 8 15
8 0 2
8 2 14
8 4 16
8 5 15
8 6 15
9 0 20
9 1 12
9 2 11
9 3 18
9 4 4
9 5 10
9 7 3
9 8 -2
